Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-03-16","(not set)",79510,79498
"2025-03-17","(not set)",86635,86614
"2025-03-18","(not set)",83716,82808
"2025-03-19","(not set)",85348,84061
"2025-03-20","(not set)",84419,84278
"2025-03-21","(not set)",89979,88816
"2025-03-22","(not set)",81910,81665
"2025-03-23","(not set)",79227,78579
"2025-03-24","(not set)",80434,78782
"2025-03-25","(not set)",79784,78977
"2025-03-26","(not set)",80145,79251
"2025-03-27","(not set)",80878,80808
"2025-03-28","(not set)",81584,81304
"2025-03-29","(not set)",77222,76552
"2025-03-30","(not set)",76208,75975
"2025-03-31","(not set)",75856,75391
"2025-04-01","(not set)",79614,78587
"2025-04-02","(not set)",77695,78213
"2025-04-03","(not set)",78661,78571
"2025-04-04","(not set)",80110,79209
"2025-04-05","(not set)",80485,79956
"2025-04-06","(not set)",79068,78179
"2025-04-07","(not set)",75643,74598
"2025-04-08","(not set)",75327,75716
"2025-04-09","(not set)",74266,73749
"2025-04-10","(not set)",80486,79933
"2025-04-11","(not set)",89563,87895
"2025-04-12","(not set)",84982,85559
"2025-04-13","(not set)",82150,81196
"2025-04-14","(not set)",75412,74033
"2025-04-15","(not set)",76034,76486
"2025-04-16","(not set)",78326,78252
"2025-04-17","(not set)",77153,76085
"2025-04-18","(not set)",75060,74356
"2025-04-19","(not set)",75174,74617
"2025-04-20","(not set)",75365,73756
"2025-04-21","(not set)",73957,74161
"2025-04-22","(not set)",76091,75449
"2025-04-23","(not set)",77231,76003
"2025-04-24","(not set)",78197,76148
"2025-04-25","(not set)",78615,78035
"2025-04-26","(not set)",76678,76760
"2025-04-27","(not set)",77818,77256
"2025-04-28","(not set)",76170,76461
"2025-04-29","(not set)",78172,77209
"2025-04-30","(not set)",79528,78988
"2025-05-01","(not set)",77663,77045
"2025-05-02","(not set)",86732,86809
"2025-05-03","(not set)",81013,81071
"2025-05-04","(not set)",72725,72350
"2025-05-05","(not set)",74481,74366
"2025-05-06","(not set)",74921,74876
"2025-05-07","(not set)",79542,78720
"2025-05-08","(not set)",83555,83086
"2025-05-09","(not set)",79391,78766
"2025-05-10","(not set)",77243,77144
"2025-05-11","(not set)",72153,71730
"2025-05-12","(not set)",75814,75200
"2025-05-13","(not set)",70679,69878
"2025-05-14","(not set)",72843,72148
"2025-05-15","(not set)",69216,68658
"2025-05-16","(not set)",70851,70253
"2025-05-17","(not set)",69604,69266
"2025-05-18","(not set)",68975,68435
