Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2025-02-20","(not set)",18,18
"2025-02-21","(not set)",22,22
"2025-02-22","(not set)",12,12
"2025-02-23","(not set)",17,16
"2025-02-24","(not set)",18,18
"2025-02-25","(not set)",26,26
"2025-02-26","(not set)",15,15
"2025-02-27","(not set)",23,22
"2025-02-28","(not set)",32,32
"2025-03-01","(not set)",27,27
"2025-03-01","adsfree",1,1
"2025-03-02","(not set)",21,21
"2025-03-03","(not set)",25,25
"2025-03-04","(not set)",36,35
"2025-03-04","trial_white_animation_all_features",1,1
"2025-03-05","(not set)",35,35
"2025-03-06","(not set)",28,28
"2025-03-07","(not set)",15,15
"2025-03-07","trial_white_animation_all_features",1,1
"2025-03-08","(not set)",11,11
"2025-03-08","plans_manage",1,1
"2025-03-08","trial_white_animation_all_features",1,1
"2025-03-09","(not set)",22,22
"2025-03-10","(not set)",12,12
"2025-03-10","adsfree",1,1
"2025-03-10","plans_offer_annual_highlighted",1,1
"2025-03-11","(not set)",14,14
"2025-03-12","(not set)",11,11
"2025-03-13","(not set)",24,23
"2025-03-14","(not set)",10,10
"2025-03-14","trial_white_animation_all_features",1,1
"2025-03-15","(not set)",14,14
"2025-03-16","(not set)",22,22
"2025-03-17","(not set)",14,14
"2025-03-18","(not set)",17,17
"2025-03-18","plans_offer_annual_highlighted",1,1
"2025-03-19","(not set)",20,20
"2025-03-20","(not set)",28,28
"2025-03-21","(not set)",16,16
"2025-03-22","(not set)",19,19
"2025-03-23","(not set)",22,20
"2025-03-23","adsfree_promotion_lto",1,1
"2025-03-24","(not set)",16,16
"2025-03-25","(not set)",16,15
"2025-03-26","(not set)",16,15
"2025-03-27","(not set)",17,16
"2025-03-28","(not set)",14,14
"2025-03-29","(not set)",11,11
"2025-03-30","(not set)",13,13
"2025-03-31","(not set)",17,15
"2025-04-01","(not set)",14,13
"2025-04-02","(not set)",14,14
"2025-04-03","(not set)",13,13
"2025-04-04","(not set)",17,17
"2025-04-05","(not set)",13,12
"2025-04-06","(not set)",12,12
"2025-04-07","(not set)",17,16
"2025-04-08","(not set)",19,17
"2025-04-09","(not set)",20,20
"2025-04-10","(not set)",21,21
"2025-04-11","(not set)",12,12
"2025-04-12","(not set)",14,13
"2025-04-13","(not set)",15,15
"2025-04-14","(not set)",21,21
"2025-04-15","(not set)",21,20
"2025-04-16","(not set)",22,12
"2025-04-17","(not set)",13,13
"2025-04-18","(not set)",14,13
"2025-04-18","trial_white_animation_all_features",1,1
"2025-04-19","(not set)",17,17
"2025-04-20","(not set)",10,10
"2025-04-21","(not set)",17,16
"2025-04-22","(not set)",13,13
