Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",3386,3325
"2024-10-02","(not set)",3458,3400
"2024-10-03","(not set)",3387,3325
"2024-10-04","(not set)",3437,3377
"2024-10-05","(not set)",3344,3289
"2024-10-06","(not set)",3398,3339
"2024-10-07","(not set)",3295,3241
"2024-10-08","(not set)",3486,3427
"2024-10-09","(not set)",3414,3361
"2024-10-10","(not set)",3498,3433
"2024-10-11","(not set)",3490,3429
"2024-10-12","(not set)",3447,3386
"2024-10-13","(not set)",3422,3349
"2024-10-14","(not set)",3397,3336
"2024-10-15","(not set)",3576,3506
"2024-10-16","(not set)",3590,3510
"2024-10-17","(not set)",3460,3375
"2024-10-18","(not set)",3389,3334
"2024-10-19","(not set)",3486,3407
"2024-10-20","(not set)",3504,3425
"2024-10-21","(not set)",3523,3448
"2024-10-22","(not set)",3449,3396
"2024-10-23","(not set)",3479,3413
"2024-10-24","(not set)",3448,3372
"2024-10-25","(not set)",3322,3240
"2024-10-26","(not set)",3384,3318
"2024-10-27","(not set)",3323,3257
"2024-10-28","(not set)",3755,3661
"2024-10-29","(not set)",3608,3525
"2024-10-30","(not set)",3558,3478
"2024-10-31","(not set)",3461,3399
"2024-11-01","(not set)",3706,3626
"2024-11-02","(not set)",3891,3813
"2024-11-03","(not set)",3775,3704
"2024-11-04","(not set)",3628,3535
"2024-11-05","(not set)",3666,3583
"2024-11-06","(not set)",3609,3533
"2024-11-07","(not set)",3587,3506
"2024-11-08","(not set)",3578,3501
"2024-11-09","(not set)",3742,3657
"2024-11-10","(not set)",3623,3547
"2024-11-11","(not set)",3704,3637
"2024-11-12","(not set)",3875,3789
"2024-11-13","(not set)",4087,4001
"2024-11-14","(not set)",3787,3714
"2024-11-15","(not set)",4202,4101
"2024-11-16","(not set)",4094,4006
"2024-11-17","(not set)",3811,3753
"2024-11-18","(not set)",3952,3885
"2024-11-19","(not set)",3878,3811
"2024-11-20","(not set)",4332,4241
"2024-11-21","(not set)",3985,3898
"2024-11-22","(not set)",3777,3692
"2024-11-23","(not set)",3823,3741
"2024-11-24","(not set)",3651,3589
"2024-11-25","(not set)",3820,3731
"2024-11-26","(not set)",3686,3620
"2024-11-27","(not set)",3737,3669
"2024-11-28","(not set)",3914,3842
"2024-11-29","(not set)",3818,3742
"2024-11-30","(not set)",4046,3972
"2024-12-01","(not set)",4051,3975
"2024-12-02","(not set)",4000,3918
"2024-12-03","(not set)",4010,3931
"2024-12-04","(not set)",4755,4653
"2024-12-05","(not set)",4340,4262
"2024-12-06","(not set)",3996,3894
"2024-12-07","(not set)",4044,3988
"2024-12-08","(not set)",3950,3874
"2024-12-09","(not set)",3715,3652
"2024-12-10","(not set)",3829,3743
"2024-12-11","(not set)",3864,3796
"2024-12-12","(not set)",3709,3639
"2024-12-13","(not set)",3593,3527
"2024-12-14","(not set)",3617,3556
"2024-12-15","(not set)",3713,3648
"2024-12-16","(not set)",3613,3543
"2024-12-17","(not set)",3783,3712
"2024-12-18","(not set)",3874,3805
"2024-12-19","(not set)",3763,3673
"2024-12-20","(not set)",3715,3631
"2024-12-21","(not set)",3642,3584
"2024-12-22","(not set)",3701,3617
"2024-12-23","(not set)",3631,3560
"2024-12-24","(not set)",3324,3261
"2024-12-25","(not set)",3699,3627
"2024-12-26","(not set)",4124,4050
"2024-12-27","(not set)",4193,4111
"2024-12-28","(not set)",3945,3852
"2024-12-29","(not set)",3974,3910
"2024-12-30","(not set)",3846,3781
"2024-12-31","(not set)",3525,3465
"2025-01-01","(not set)",3711,3623
"2025-01-02","(not set)",4223,4135
"2025-01-03","(not set)",4166,4091
"2025-01-04","(not set)",4123,4029
"2025-01-05","(not set)",4200,4111
"2025-01-06","(not set)",4239,4155
"2025-01-07","(not set)",4091,4011
"2025-01-08","(not set)",4079,3999
"2025-01-09","(not set)",3999,3933
"2025-01-10","(not set)",3847,3763
"2025-01-11","(not set)",3916,3825
"2025-01-12","(not set)",3961,3900
"2025-01-13","(not set)",4067,3987
"2025-01-14","(not set)",4065,3977
"2025-01-15","(not set)",3822,3749
"2025-01-16","(not set)",3933,3843
"2025-01-17","(not set)",4011,3939
"2025-01-18","(not set)",3713,3634
"2025-01-19","(not set)",3780,3695
"2025-01-20","(not set)",4019,3944
"2025-01-21","(not set)",4231,4133
"2025-01-22","(not set)",4095,4000
"2025-01-23","(not set)",3887,3806
"2025-01-24","(not set)",3971,3870
"2025-01-25","(not set)",3834,3743
"2025-01-26","(not set)",4020,3914
"2025-01-27","(not set)",4085,4006
"2025-01-28","(not set)",4050,3970
"2025-01-29","(not set)",4035,3934
"2025-01-30","(not set)",3907,3830
"2025-01-31","(not set)",3811,3714
"2025-02-01","(not set)",3828,3748
"2025-02-02","(not set)",3761,3700
"2025-02-03","(not set)",3543,3451
"2025-02-04","(not set)",3526,3443
"2025-02-05","(not set)",3325,3260
"2025-02-06","(not set)",3349,3285
"2025-02-07","(not set)",3615,3525
"2025-02-08","(not set)",3505,3415
"2025-02-09","(not set)",3622,3528
"2025-02-10","(not set)",3374,3302
"2025-02-11","(not set)",3368,3298
"2025-02-12","(not set)",3101,3038
"2025-02-13","(not set)",3165,3080
"2025-02-14","(not set)",3135,3055
"2025-02-15","(not set)",3246,3181
"2025-02-16","(not set)",3357,3283
"2025-02-17","(not set)",3235,3179
"2025-02-18","(not set)",3249,3179
"2025-02-19","(not set)",3086,3019
"2025-02-20","(not set)",3113,3054
"2025-02-21","(not set)",3140,3071
"2025-02-22","(not set)",3174,3102
"2025-02-23","(not set)",3364,3292
"2025-02-24","(not set)",3118,3060
"2025-02-25","(not set)",3262,3196
"2025-02-26","(not set)",3433,3355
"2025-02-27","(not set)",3253,3189
"2025-02-28","(not set)",3349,3271
"2025-03-01","(not set)",3335,3261
"2025-03-02","(not set)",3358,3302
"2025-03-03","(not set)",3534,3461
"2025-03-04","(not set)",3560,3494
"2025-03-05","(not set)",3742,3659
"2025-03-06","(not set)",3618,3532
"2025-03-07","(not set)",3528,3436
"2025-03-08","(not set)",3473,3389
"2025-03-09","(not set)",3515,3411
"2025-03-10","(not set)",3338,3260
"2025-03-11","(not set)",3504,3421
"2025-03-12","(not set)",3432,3353
"2025-03-13","(not set)",3443,3368
"2025-03-14","(not set)",3542,3463
"2025-03-15","(not set)",3663,3573
"2025-03-16","(not set)",3793,3716
"2025-03-17","(not set)",3807,3680
"2025-03-18","(not set)",3725,3608
"2025-03-19","(not set)",3536,3449
"2025-03-20","(not set)",3255,3191
"2025-03-21","(not set)",3181,3114
"2025-03-22","(not set)",3345,3266
"2025-03-23","(not set)",3553,3493
"2025-03-24","(not set)",3306,3244
"2025-03-25","(not set)",3180,3127
"2025-03-26","(not set)",3123,3063
"2025-03-27","(not set)",3222,3144
"2025-03-28","(not set)",3255,3190
"2025-03-29","(not set)",3487,3400
"2025-03-30","(not set)",3477,3407
"2025-03-31","(not set)",3346,3266
"2025-04-01","(not set)",3456,3374
"2025-04-02","(not set)",3355,3294
"2025-04-03","(not set)",3343,3263
"2025-04-04","(not set)",3282,3226
"2025-04-05","(not set)",3308,3228
"2025-04-06","(not set)",3253,3200
"2025-04-07","(not set)",3052,2980
"2025-04-08","(not set)",3219,3149
"2025-04-09","(not set)",3258,3206
"2025-04-10","(not set)",3324,3235
"2025-04-11","(not set)",3342,3279
"2025-04-12","(not set)",6073,5955
"2025-04-13","(not set)",6930,6768
"2025-04-14","(not set)",4276,4186
"2025-04-15","(not set)",3946,3878
"2025-04-16","(not set)",4182,4072
"2025-04-17","(not set)",3942,3867
"2025-04-18","(not set)",4260,4180
"2025-04-19","(not set)",4004,3928
"2025-04-20","(not set)",4088,3990
"2025-04-21","(not set)",4282,4185
"2025-04-22","(not set)",3958,3876
"2025-04-23","(not set)",3822,3735
"2025-04-24","(not set)",3782,3707
"2025-04-25","(not set)",3789,3718
"2025-04-26","(not set)",3751,3664
"2025-04-27","(not set)",3991,3905
"2025-04-28","(not set)",3719,3633
"2025-04-29","(not set)",3747,3672
"2025-04-30","(not set)",3800,3715
"2025-05-01","(not set)",4494,4368
"2025-05-02","(not set)",4338,4240
"2025-05-03","(not set)",3964,3896
"2025-05-04","(not set)",3851,3778
"2025-05-05","(not set)",3669,3571
"2025-05-06","(not set)",3647,3559
"2025-05-07","(not set)",3464,3378
"2025-05-08","(not set)",3557,3484
"2025-05-09","(not set)",3491,3382
"2025-05-10","(not set)",3667,3594
"2025-05-11","(not set)",3897,3826
"2025-05-12","(not set)",3656,3550
"2025-05-13","(not set)",3781,3700
"2025-05-14","(not set)",3728,3635
"2025-05-15","(not set)",3648,3570
"2025-05-16","(not set)",3726,3644
"2025-05-17","(not set)",4032,3946
"2025-05-18","(not set)",4054,3956
"2025-05-19","(not set)",4081,4003
"2025-05-20","(not set)",3881,3794
"2025-05-21","(not set)",4275,4171
"2025-05-22","(not set)",4302,4167
"2025-05-23","(not set)",4229,4078
"2025-05-24","(not set)",4415,4324
"2025-05-25","(not set)",4618,4515
"2025-05-26","(not set)",4424,4310
"2025-05-27","(not set)",4502,4408
"2025-05-28","(not set)",4355,4246
"2025-05-29","(not set)",4316,4216
"2025-05-30","(not set)",4007,3893
"2025-05-31","(not set)",4188,4096
"2025-06-01","(not set)",4363,4265
"2025-06-02","(not set)",4045,3924
"2025-06-03","(not set)",3619,3538
"2025-06-04","(not set)",3705,3588
"2025-06-05","(not set)",3779,3673
"2025-06-06","(not set)",3507,3421
"2025-06-07","(not set)",3463,3388
"2025-06-08","(not set)",3372,3310
"2025-06-09","(not set)",3265,3182
"2025-06-10","(not set)",3208,3109
"2025-06-11","(not set)",3114,3053
"2025-06-12","(not set)",3088,2979
"2025-06-13","(not set)",3292,3147
"2025-06-14","(not set)",3283,3197
"2025-06-15","(not set)",3354,3276
"2025-06-16","(not set)",3514,3417
"2025-06-17","(not set)",3576,3456
"2025-06-18","(not set)",3469,3351
"2025-06-19","(not set)",3759,3588
"2025-06-20","(not set)",3608,3452
"2025-06-21","(not set)",3511,3427
"2025-06-22","(not set)",3669,3588
"2025-06-23","(not set)",3595,3488
"2025-06-24","(not set)",4429,4245
"2025-06-25","(not set)",3546,3451
"2025-06-26","(not set)",3425,3312
"2025-06-27","(not set)",3372,3297
