Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",32586,26788
"2024-10-02","(not set)",32290,26745
"2024-10-03","(not set)",31423,26022
"2024-10-04","(not set)",30690,25673
"2024-10-05","(not set)",29939,25222
"2024-10-06","(not set)",29473,24739
"2024-10-07","(not set)",30761,25689
"2024-10-08","(not set)",30524,25584
"2024-10-09","(not set)",30222,25501
"2024-10-10","(not set)",29762,25105
"2024-10-11","(not set)",29054,24512
"2024-10-12","(not set)",28250,23571
"2024-10-13","(not set)",29254,24604
"2024-10-14","(not set)",31237,26277
"2024-10-15","(not set)",30379,25365
"2024-10-16","(not set)",30492,25705
"2024-10-17","(not set)",29793,25230
"2024-10-18","(not set)",29352,24767
"2024-10-19","(not set)",28845,24049
"2024-10-20","(not set)",29960,24984
"2024-10-21","(not set)",30936,25988
"2024-10-22","(not set)",30618,25606
"2024-10-23","(not set)",30343,25605
"2024-10-24","(not set)",29909,25061
"2024-10-25","(not set)",29077,24628
"2024-10-26","(not set)",28048,23925
"2024-10-27","(not set)",28372,23896
"2024-10-28","(not set)",30340,25604
"2024-10-29","(not set)",30079,25416
"2024-10-30","(not set)",30446,25244
"2024-10-31","(not set)",31718,26206
"2024-11-01","(not set)",33901,28019
"2024-11-02","(not set)",32716,26942
"2024-11-03","(not set)",33420,27199
"2024-11-04","(not set)",33375,27191
"2024-11-05","(not set)",31975,26044
"2024-11-06","(not set)",30653,25013
"2024-11-07","(not set)",30056,25225
"2024-11-08","(not set)",29097,24493
"2024-11-09","(not set)",27987,23522
"2024-11-10","(not set)",27664,23165
"2024-11-11","(not set)",28827,23945
"2024-11-12","(not set)",28286,23797
"2024-11-13","(not set)",27376,22829
"2024-11-14","(not set)",25986,21714
"2024-11-15","(not set)",25397,21321
"2024-11-16","(not set)",25199,21314
"2024-11-17","(not set)",25225,21389
"2024-11-18","(not set)",25522,21531
"2024-11-19","(not set)",25145,21014
"2024-11-20","(not set)",25051,20973
"2024-11-21","(not set)",25571,21538
"2024-11-22","(not set)",25448,21110
"2024-11-23","(not set)",25398,21295
"2024-11-24","(not set)",25301,21285
"2024-11-25","(not set)",26054,22039
"2024-11-26","(not set)",25859,21365
"2024-11-27","(not set)",25734,21549
"2024-11-28","(not set)",25334,21380
"2024-11-29","(not set)",24570,20942
"2024-11-30","(not set)",23987,20261
"2024-12-01","(not set)",25357,21556
"2024-12-02","(not set)",26501,22306
"2024-12-03","(not set)",25728,21659
"2024-12-04","(not set)",26194,22087
"2024-12-05","(not set)",25160,21226
"2024-12-06","(not set)",24291,20521
"2024-12-07","(not set)",23575,19880
"2024-12-08","(not set)",23818,20038
"2024-12-09","(not set)",25234,21321
"2024-12-10","(not set)",25563,21322
"2024-12-11","(not set)",26196,22075
"2024-12-12","(not set)",24980,21187
"2024-12-13","(not set)",24794,21260
"2024-12-14","(not set)",24197,20482
"2024-12-15","(not set)",24085,20061
"2024-12-16","(not set)",25401,21285
"2024-12-17","(not set)",25958,21693
"2024-12-18","(not set)",25541,21058
"2024-12-19","(not set)",24802,20565
"2024-12-20","(not set)",24528,20558
"2024-12-21","(not set)",24040,19959
"2024-12-22","(not set)",24153,20016
"2024-12-23","(not set)",24175,20289
"2024-12-24","(not set)",23106,19298
"2024-12-25","(not set)",23041,18936
"2024-12-26","(not set)",25146,20886
"2024-12-27","(not set)",26416,21722
"2024-12-28","(not set)",25584,21175
"2024-12-29","(not set)",25511,21208
"2024-12-30","(not set)",25701,21630
"2024-12-31","(not set)",24749,20452
"2025-01-01","(not set)",24507,20454
"2025-01-02","(not set)",27467,22922
"2025-01-03","(not set)",26854,22404
"2025-01-04","(not set)",26533,21925
"2025-01-05","(not set)",25756,21355
"2025-01-06","(not set)",26644,22157
"2025-01-07","(not set)",25547,21102
"2025-01-08","(not set)",25591,21252
"2025-01-09","(not set)",25018,20893
"2025-01-10","(not set)",24818,20772
"2025-01-11","(not set)",25025,20722
"2025-01-12","(not set)",24608,20524
"2025-01-13","(not set)",24744,20641
"2025-01-14","(not set)",23274,19769
"2025-01-15","(not set)",22896,19333
"2025-01-16","(not set)",22291,18858
"2025-01-17","(not set)",21363,18054
"2025-01-18","(not set)",21070,17783
"2025-01-19","(not set)",20997,17876
"2025-01-20","(not set)",21953,18884
"2025-01-21","(not set)",21726,18637
"2025-01-22","(not set)",21854,18733
"2025-01-23","(not set)",21629,18209
"2025-01-24","(not set)",25469,21629
"2025-01-25","(not set)",23783,19940
"2025-01-26","(not set)",25104,20555
"2025-01-27","(not set)",25688,21391
"2025-01-28","(not set)",25303,21219
"2025-01-29","(not set)",25186,21078
"2025-01-30","(not set)",24445,20387
"2025-01-31","(not set)",24076,20146
"2025-02-01","(not set)",24163,20199
"2025-02-02","(not set)",24282,20406
"2025-02-03","(not set)",25215,20746
"2025-02-04","(not set)",24751,20554
"2025-02-05","(not set)",24602,20577
"2025-02-06","(not set)",23111,19092
"2025-02-07","(not set)",22993,19050
"2025-02-08","(not set)",22798,19294
"2025-02-09","(not set)",22848,19234
"2025-02-10","(not set)",23510,19401
"2025-02-11","(not set)",23203,19316
"2025-02-12","(not set)",25559,21405
"2025-02-13","(not set)",25186,20921
"2025-02-14","(not set)",23597,19494
"2025-02-15","(not set)",22428,18752
"2025-02-16","(not set)",23430,19448
"2025-02-17","(not set)",23389,19565
"2025-02-18","(not set)",23443,19254
"2025-02-19","(not set)",21801,18306
"2025-02-20","(not set)",20974,17590
"2025-02-21","(not set)",19650,16664
"2025-02-22","(not set)",18738,15843
"2025-02-23","(not set)",19045,16237
"2025-02-24","(not set)",19219,16336
"2025-02-25","(not set)",18978,16138
"2025-02-26","(not set)",19275,16482
"2025-02-27","(not set)",20052,17090
"2025-02-28","(not set)",20997,17801
"2025-03-01","(not set)",20507,17415
"2025-03-02","(not set)",20359,17124
"2025-03-03","(not set)",21639,18457
"2025-03-04","(not set)",21832,18757
"2025-03-05","(not set)",22996,19617
"2025-03-06","(not set)",22261,18673
"2025-03-07","(not set)",21598,18228
"2025-03-08","(not set)",20148,17338
"2025-03-09","(not set)",20696,17640
"2025-03-10","(not set)",21104,17753
"2025-03-11","(not set)",21827,18402
"2025-03-12","(not set)",21648,18356
"2025-03-13","(not set)",20783,17510
"2025-03-14","(not set)",20888,17709
"2025-03-15","(not set)",21070,17642
"2025-03-16","(not set)",21635,18180
"2025-03-17","(not set)",22061,18369
"2025-03-18","(not set)",20814,17783
"2025-03-19","(not set)",20013,16771
"2025-03-20","(not set)",18939,16165
"2025-03-21","(not set)",18638,15995
"2025-03-22","(not set)",18539,15985
"2025-03-23","(not set)",19015,15966
"2025-03-24","(not set)",20009,16997
"2025-03-25","(not set)",19617,16835
"2025-03-26","(not set)",19800,17061
"2025-03-27","(not set)",19473,16603
"2025-03-28","(not set)",18419,15663
"2025-03-29","(not set)",18410,15582
"2025-03-30","(not set)",19162,16354
"2025-03-31","(not set)",20523,17117
"2025-04-01","(not set)",19978,16966
"2025-04-02","(not set)",20050,16932
"2025-04-03","(not set)",19562,16684
"2025-04-04","(not set)",19081,16498
"2025-04-05","(not set)",18477,15803
"2025-04-06","(not set)",18652,15847
"2025-04-07","(not set)",18814,16150
"2025-04-08","(not set)",18230,15745
"2025-04-09","(not set)",18447,15676
"2025-04-10","(not set)",19050,15966
"2025-04-11","(not set)",18620,15756
"2025-04-12","(not set)",18520,15757
"2025-04-13","(not set)",19363,16420
"2025-04-14","(not set)",20345,17064
"2025-04-15","(not set)",20305,17173
"2025-04-16","(not set)",20799,17435
"2025-04-17","(not set)",20094,17192
"2025-04-18","(not set)",19463,16346
"2025-04-19","(not set)",19468,16605
"2025-04-20","(not set)",19073,16182
"2025-04-21","(not set)",20398,17296
"2025-04-22","(not set)",20290,17236
"2025-04-23","(not set)",19696,16777
"2025-04-24","(not set)",19425,16464
"2025-04-25","(not set)",19196,16407
"2025-04-26","(not set)",18320,15520
"2025-04-27","(not set)",18590,15638
"2025-04-28","(not set)",18939,16085
"2025-04-29","(not set)",19724,16542
"2025-04-30","(not set)",18394,15573
"2025-05-01","(not set)",19023,16304
"2025-05-02","(not set)",18948,15923
"2025-05-03","(not set)",18700,15802
"2025-05-04","(not set)",18933,15723
"2025-05-05","(not set)",19447,16545
"2025-05-06","(not set)",20708,17457
"2025-05-07","(not set)",19835,16929
"2025-05-08","(not set)",19034,16266
"2025-05-09","(not set)",18815,16340
"2025-05-10","(not set)",18082,15426
"2025-05-11","(not set)",17418,15041
"2025-05-12","(not set)",18898,15964
"2025-05-13","(not set)",19186,16224
"2025-05-14","(not set)",19002,16139
"2025-05-15","(not set)",19436,16591
"2025-05-16","(not set)",18368,15631
"2025-05-17","(not set)",17644,15102
"2025-05-18","(not set)",17684,14895
"2025-05-19","(not set)",17843,15340
"2025-05-20","(not set)",17984,15226
"2025-05-21","(not set)",17820,15226
"2025-05-22","(not set)",18576,15703
"2025-05-23","(not set)",18007,15530
"2025-05-24","(not set)",17338,15086
"2025-05-25","(not set)",17380,15018
"2025-05-26","(not set)",17721,15159
"2025-05-27","(not set)",17825,15107
"2025-05-28","(not set)",17579,14908
"2025-05-29","(not set)",17220,14754
"2025-05-30","(not set)",17251,14837
"2025-05-31","(not set)",16890,14491
"2025-06-01","(not set)",17591,14880
"2025-06-02","(not set)",18437,15478
"2025-06-03","(not set)",17824,15115
"2025-06-04","(not set)",17970,15355
"2025-06-05","(not set)",19343,16320
"2025-06-06","(not set)",18826,16121
"2025-06-07","(not set)",18349,15788
