Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2026-01-19","com.psafe.msuite.ultra_12mo_59.90",389,260
"2026-01-19","com.psafe.msuite.ads_free_12mo_13.90",58,32
"2026-01-19","com.psafe.msuite.ultra_1mo_16.90",24,21
"2026-01-19","com.psafe.msuite.pro_1mo_3.90",19,5
"2026-01-19","com.psafe.msuite.adsfree_lto_12mo",10,9
"2026-01-19","com.psafe.msuite.pro_3day_trial_12mo49.9",7,7
"2026-01-19","com.psafe.msuite.pro_1mo",2,1
"2026-01-19","com.psafe.msuite.ads_free_12mo",1,1
"2026-01-19","com.psafe.msuite.ultra_12mo",1,1
"2026-01-20","com.psafe.msuite.ultra_12mo_59.90",391,270
"2026-01-20","com.psafe.msuite.ads_free_12mo_13.90",43,29
"2026-01-20","com.psafe.msuite.ultra_1mo_16.90",26,20
"2026-01-20","com.psafe.msuite.adsfree_lto_12mo",9,8
"2026-01-20","com.psafe.msuite.pro_1mo_3.90",8,4
"2026-01-20","com.psafe.msuite.pro_3day_trial_12mo49.9",5,5
"2026-01-20","com.psafe.msuite.ads_free_12mo",4,1
"2026-01-20","(not set)",1,1
"2026-01-20","com.psafe.msuite.ultra_12mo",1,1
"2026-01-21","com.psafe.msuite.ultra_12mo_59.90",436,284
"2026-01-21","com.psafe.msuite.ads_free_12mo_13.90",68,44
"2026-01-21","com.psafe.msuite.ultra_1mo_16.90",18,17
"2026-01-21","com.psafe.msuite.adsfree_lto_12mo",13,7
"2026-01-21","com.psafe.msuite.pro_3day_trial_12mo49.9",7,6
"2026-01-21","com.psafe.msuite.pro_1mo_3.90",2,1
"2026-01-21","com.psafe.msuite.ultra_12mo",2,1
"2026-01-21","com.psafe.msuite.ads_free_12mo",1,1
"2026-01-21","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2026-01-22","com.psafe.msuite.ultra_12mo_59.90",402,266
"2026-01-22","com.psafe.msuite.ads_free_12mo_13.90",33,26
"2026-01-22","com.psafe.msuite.ultra_1mo_16.90",14,14
"2026-01-22","com.psafe.msuite.adsfree_lto_12mo",8,6
"2026-01-22","com.psafe.msuite.pro_3day_trial_12mo49.9",6,6
"2026-01-22","com.psafe.msuite.pro_12mo_49.90",4,3
"2026-01-22","com.psafe.msuite.pro_1mo_3.90",3,2
"2026-01-22","com.psafe.msuite.ultra_12mo",3,1
"2026-01-22","com.psafe.msuite.ads_free_12mo",2,2
"2026-01-23","com.psafe.msuite.ultra_12mo_59.90",316,245
"2026-01-23","com.psafe.msuite.ads_free_12mo_13.90",55,46
"2026-01-23","com.psafe.msuite.ultra_1mo_16.90",25,22
"2026-01-23","com.psafe.msuite.pro_3day_trial_12mo49.9",20,8
"2026-01-23","com.psafe.msuite.adsfree_lto_12mo",13,11
"2026-01-23","com.psafe.msuite.pro_1mo_3.90",7,6
"2026-01-23","com.psafe.msuite.pro_12mo_49.90",6,3
"2026-01-23","com.psafe.msuite.ultra_12mo",6,4
"2026-01-23","com.psafe.msuite.ads_free_12mo",2,2
"2026-01-23","com.psafe.msuite.pro_lto_12mo_39.90",1,1
"2026-01-24","com.psafe.msuite.ultra_12mo_59.90",318,223
"2026-01-24","com.psafe.msuite.ads_free_12mo_13.90",68,41
"2026-01-24","com.psafe.msuite.adsfree_lto_12mo",24,17
"2026-01-24","com.psafe.msuite.ultra_1mo_16.90",12,12
"2026-01-24","com.psafe.msuite.ultra_12mo",11,6
"2026-01-24","com.psafe.msuite.pro_1mo_3.90",4,3
"2026-01-24","com.psafe.msuite.ads_free_12mo",3,1
"2026-01-24","com.psafe.msuite.pro_3day_trial_12mo49.9",3,3
"2026-01-24","(not set)",1,1
"2026-01-24","com.psafe.msuite.pro_12mo_49.90",1,1
"2026-01-25","com.psafe.msuite.ultra_12mo_59.90",293,204
"2026-01-25","com.psafe.msuite.ads_free_12mo_13.90",42,24
"2026-01-25","com.psafe.msuite.ultra_1mo_16.90",26,12
"2026-01-25","com.psafe.msuite.adsfree_lto_12mo",22,19
"2026-01-25","com.psafe.msuite.pro_3day_trial_12mo49.9",2,2
"2026-01-25","com.psafe.msuite.ultra_12mo",2,1
"2026-01-25","com.psafe.msuite.ads_free_12mo",1,1
"2026-01-25","com.psafe.msuite.pro_1mo_3.90",1,1
