Data,Pais,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","Brazil","(not set)",7447,5064
"2024-10-01","United States","(not set)",868,629
"2024-10-01","Iran","(not set)",51,40
"2024-10-01","Mexico","(not set)",48,40
"2024-10-01","Indonesia","(not set)",22,19
"2024-10-01","Nigeria","(not set)",15,11
"2024-10-01","Germany","(not set)",13,9
"2024-10-01","India","(not set)",10,10
"2024-10-01","Saudi Arabia","(not set)",9,3
"2024-10-01","Netherlands","(not set)",8,5
"2024-10-01","Pakistan","(not set)",8,5
"2024-10-01","Colombia","(not set)",7,6
"2024-10-01","Bangladesh","(not set)",6,6
"2024-10-01","Philippines","(not set)",6,5
"2024-10-01","Portugal","(not set)",6,6
"2024-10-01","Spain","(not set)",6,4
"2024-10-01","United Kingdom","(not set)",6,5
"2024-10-01","France","(not set)",5,5
"2024-10-01","Afghanistan","(not set)",4,4
"2024-10-01","Canada","(not set)",4,4
"2024-10-01","Cuba","(not set)",4,3
"2024-10-01","Hungary","(not set)",4,2
"2024-10-01","Italy","(not set)",4,2
"2024-10-01","Morocco","(not set)",4,2
"2024-10-01","Yemen","(not set)",4,2
"2024-10-01","(not set)","(not set)",3,1
"2024-10-01","Guyana","(not set)",3,1
"2024-10-01","Hong Kong","(not set)",3,1
"2024-10-01","Nepal","(not set)",3,3
"2024-10-01","Angola","(not set)",2,1
"2024-10-01","Argentina","(not set)",2,2
"2024-10-01","Bolivia","(not set)",2,2
"2024-10-01","Dominican Republic","(not set)",2,1
"2024-10-01","Ecuador","(not set)",2,2
"2024-10-01","Egypt","(not set)",2,2
"2024-10-01","Kenya","(not set)",2,2
"2024-10-01","Malaysia","(not set)",2,1
"2024-10-01","Paraguay","(not set)",2,2
"2024-10-01","Peru","(not set)",2,1
"2024-10-01","South Africa","(not set)",2,2
"2024-10-01","Thailand","(not set)",2,2
"2024-10-01","Venezuela","(not set)",2,1
"2024-10-01","Algeria","(not set)",1,1
"2024-10-01","Chile","(not set)",1,1
"2024-10-01","Congo - Kinshasa","(not set)",1,1
"2024-10-01","Ghana","(not set)",1,1
"2024-10-01","Honduras","(not set)",1,1
"2024-10-01","Laos","(not set)",1,1
"2024-10-01","Panama","(not set)",1,1
"2024-10-01","Papua New Guinea","(not set)",1,1
"2024-10-01","Puerto Rico","(not set)",1,1
"2024-10-01","Somalia","(not set)",1,1
"2024-10-01","South Korea","(not set)",1,1
"2024-10-01","United Arab Emirates","(not set)",1,1
"2024-10-01","Zambia","(not set)",1,1
"2024-10-02","Brazil","(not set)",6998,4751
"2024-10-02","United States","(not set)",838,618
"2024-10-02","Iran","(not set)",64,55
