Data,SKU,ContagemDeEventos,TotalDeUsuarios
"2024-10-01","(not set)",1924228,760441
"2024-10-02","(not set)",1903926,757588
"2024-10-03","(not set)",1873291,752771
"2024-10-04","(not set)",1887923,761796
"2024-10-05","(not set)",1866969,758131
"2024-10-06","(not set)",1891151,755288
"2024-10-07","(not set)",1918771,756257
"2024-10-08","(not set)",1891126,756086
"2024-10-09","(not set)",1869694,757985
"2024-10-10","(not set)",1847254,750414
"2024-10-11","(not set)",1791288,733714
"2024-10-12","(not set)",1759062,725022
"2024-10-13","(not set)",1800743,727968
"2024-10-14","(not set)",1874994,743369
"2024-10-15","(not set)",1846486,744778
"2024-10-16","(not set)",1831909,745060
"2024-10-17","(not set)",1821298,735515
"2024-10-18","(not set)",1797164,728594
"2024-10-19","(not set)",1781810,726169
"2024-10-20","(not set)",1823545,731011
"2024-10-21","(not set)",1873550,740054
"2024-10-22","(not set)",1856121,741145
"2024-10-23","(not set)",1849367,740684
"2024-10-24","(not set)",1817861,739728
"2024-10-25","(not set)",1790956,726372
"2024-10-26","(not set)",1767805,724609
"2024-10-27","(not set)",1778128,716477
"2024-10-28","(not set)",1848918,736681
"2024-10-29","(not set)",1841742,736466
"2024-10-30","(not set)",1879617,737674
"2024-10-31","(not set)",2174714,744612
"2024-11-01","(not set)",2391661,753452
"2024-11-02","(not set)",2432068,751716
"2024-11-03","(not set)",2454795,755447
"2024-11-04","(not set)",2525583,765602
"2024-11-05","(not set)",2469512,766267
"2024-11-06","(not set)",2430818,759027
"2024-11-07","(not set)",2423891,766186
"2024-11-08","(not set)",2346648,765551
"2024-11-09","(not set)",2288322,753351
"2024-11-10","(not set)",2263462,749100
"2024-11-11","(not set)",2306535,751330
"2024-11-12","(not set)",2268292,747794
"2024-11-13","(not set)",2211536,746590
"2024-11-14","(not set)",2154080,735272
"2024-11-15","(not set)",2091050,730503
"2024-11-16","(not set)",2079939,721489
"2024-11-17","(not set)",2083346,729541
"2024-11-18","(not set)",2142100,739951
"2024-11-19","(not set)",2104782,730542
"2024-11-20","(not set)",2078861,731873
"2024-11-21","(not set)",2205322,733062
"2024-11-22","(not set)",2269959,732720
"2024-11-23","(not set)",2245415,734602
"2024-11-24","(not set)",2238000,727529
"2024-11-25","(not set)",2303259,737811
"2024-11-26","(not set)",2313119,739554
"2024-11-27","(not set)",2309628,742305
"2024-11-28","(not set)",2313755,739434
"2024-11-29","(not set)",2311586,738366
"2024-11-30","(not set)",2274158,730274
"2024-12-01","(not set)",2343642,730721
"2024-12-02","(not set)",2413794,742594
"2024-12-03","(not set)",2294945,738300
"2024-12-04","(not set)",2086318,724818
"2024-12-05","(not set)",2007823,704287
"2024-12-06","(not set)",1957939,703112
"2024-12-07","(not set)",1892850,687391
"2024-12-08","(not set)",1899747,696000
"2024-12-09","(not set)",1993552,713308
"2024-12-10","(not set)",2001642,713762
"2024-12-11","(not set)",2035303,718331
"2024-12-12","(not set)",2006447,714180
"2024-12-13","(not set)",1987845,701569
"2024-12-14","(not set)",1964710,693062
"2024-12-15","(not set)",1956635,683200
"2024-12-16","(not set)",2020602,692459
"2024-12-17","(not set)",2178414,690301
"2024-12-18","(not set)",2284418,689727
"2024-12-19","(not set)",2241956,691832
"2024-12-20","(not set)",2232237,692197
"2024-12-21","(not set)",2188001,687353
"2024-12-22","(not set)",2181292,685170
"2024-12-23","(not set)",2251077,695079
"2024-12-24","(not set)",2232131,686942
"2024-12-25","(not set)",2153025,679262
"2024-12-26","(not set)",2258591,698351
"2024-12-27","(not set)",2253684,694285
"2024-12-28","(not set)",2218080,693859
"2024-12-29","(not set)",2196621,689729
"2024-12-30","(not set)",2265840,695651
"2024-12-31","(not set)",2251491,687640
"2025-01-01","(not set)",2197727,682559
"2025-01-02","(not set)",2336853,699640
"2025-01-03","(not set)",2310625,698975
"2025-01-04","(not set)",2253442,690936
"2025-01-05","(not set)",2225928,687271
"2025-01-06","(not set)",2287924,702057
"2025-01-07","(not set)",2218882,696966
"2025-01-08","(not set)",2195708,683832
"2025-01-09","(not set)",2178762,678033
"2025-01-10","(not set)",2166811,675089
"2025-01-11","(not set)",2110116,663943
"2025-01-12","(not set)",2038476,665675
"2025-01-13","(not set)",2025225,677703
"2025-01-14","(not set)",1911147,671271
"2025-01-15","(not set)",1867926,670031
"2025-01-16","(not set)",1820511,673738
"2025-01-17","(not set)",1760640,667267
"2025-01-18","(not set)",1712420,660596
"2025-01-19","(not set)",1724820,653081
"2025-01-20","(not set)",1792848,669823
"2025-01-21","(not set)",1792686,671218
"2025-01-22","(not set)",1789383,672453
"2025-01-23","(not set)",1795190,674330
"2025-01-24","(not set)",2182129,672286
"2025-01-25","(not set)",2148457,663575
"2025-01-26","(not set)",2119497,662828
"2025-01-27","(not set)",2194225,677511
"2025-01-28","(not set)",2163672,672166
"2025-01-29","(not set)",2138838,668439
"2025-01-30","(not set)",2127281,660816
"2025-01-31","(not set)",2120446,658689
"2025-02-01","(not set)",2126727,652301
"2025-02-02","(not set)",2146960,654010
"2025-02-03","(not set)",2212113,664113
"2025-02-04","(not set)",2170028,658005
"2025-02-05","(not set)",2173940,664200
"2025-02-06","(not set)",2277262,678649
"2025-02-07","(not set)",2215829,682442
"2025-02-08","(not set)",2216606,678219
"2025-02-09","(not set)",2211281,682114
"2025-02-10","(not set)",2254863,687627
"2025-02-11","(not set)",2219005,684252
"2025-02-12","(not set)",2124775,659219
"2025-02-13","(not set)",2000731,650464
"2025-02-14","(not set)",1876867,639324
"2025-02-15","(not set)",1806754,626506
"2025-02-16","(not set)",1807691,626789
"2025-02-17","(not set)",1843606,635273
"2025-02-18","(not set)",1845798,641771
"2025-02-19","(not set)",1583539,630696
"2025-02-20","(not set)",1496257,621053
"2025-02-21","(not set)",1391802,608753
"2025-02-22","(not set)",1318537,594865
"2025-02-23","(not set)",1305381,595286
"2025-02-24","(not set)",1341551,611158
"2025-02-25","(not set)",1325270,609571
"2025-02-26","(not set)",1319168,601537
"2025-02-27","(not set)",1494893,624315
"2025-02-28","(not set)",1719616,632955
"2025-03-01","(not set)",1705182,625878
"2025-03-02","(not set)",1684243,620848
"2025-03-03","(not set)",1766948,645823
"2025-03-04","(not set)",1804296,655829
"2025-03-05","(not set)",1950513,658593
"2025-03-06","(not set)",1871950,650286
"2025-03-07","(not set)",1800843,644293
"2025-03-08","(not set)",1741796,633515
"2025-03-09","(not set)",1731677,629747
"2025-03-10","(not set)",1786608,641690
"2025-03-11","(not set)",1925373,644104
"2025-03-12","(not set)",1785320,637919
"2025-03-13","(not set)",1740210,637144
"2025-03-14","(not set)",1760277,629166
"2025-03-15","(not set)",1785570,625253
"2025-03-16","(not set)",1762645,622282
"2025-03-17","(not set)",1781955,635790
"2025-03-18","(not set)",1634798,619397
"2025-03-19","(not set)",1383564,597984
"2025-03-20","(not set)",1315403,588822
"2025-03-21","(not set)",1292920,578804
"2025-03-22","(not set)",1305103,589850
"2025-03-23","(not set)",1301178,587815
"2025-03-24","(not set)",1354727,599149
"2025-03-25","(not set)",1362984,605562
"2025-03-26","(not set)",1443165,610735
"2025-03-27","(not set)",1388850,608801
"2025-03-28","(not set)",1311549,595752
"2025-03-29","(not set)",1302111,592484
"2025-03-30","(not set)",1347844,590025
"2025-03-31","(not set)",1412865,597062
"2025-04-01","(not set)",1412215,597493
"2025-04-02","(not set)",1404640,602294
"2025-04-03","(not set)",1388806,601217
"2025-04-04","(not set)",1362543,593766
"2025-04-05","(not set)",1338977,575260
"2025-04-06","(not set)",1335920,581332
"2025-04-07","(not set)",1343447,588417
"2025-04-08","(not set)",1303393,590882
"2025-04-09","(not set)",1284929,584338
"2025-04-10","(not set)",1497974,610666
"2025-04-11","(not set)",1534377,603814
"2025-04-12","(not set)",1553413,600224
"2025-04-13","(not set)",1607012,603103
"2025-04-14","(not set)",1716806,613700
"2025-04-15","(not set)",1716589,614238
"2025-04-16","(not set)",1763499,613019
"2025-04-17","(not set)",1732680,607557
"2025-04-18","(not set)",1643704,596099
"2025-04-19","(not set)",1642031,591877
"2025-04-20","(not set)",1635093,598758
"2025-04-21","(not set)",1700932,607129
"2025-04-22","(not set)",1698296,611279
"2025-04-23","(not set)",1668000,604656
"2025-04-24","(not set)",1658774,604986
"2025-04-25","(not set)",1617228,600794
"2025-04-26","(not set)",1574155,597729
"2025-04-27","(not set)",1576098,597778
"2025-04-28","(not set)",1614979,606492
"2025-04-29","(not set)",1756344,608792
"2025-04-30","(not set)",1387075,579581
"2025-05-01","(not set)",1507123,592482
"2025-05-02","(not set)",1387098,581072
"2025-05-03","(not set)",1441620,581403
"2025-05-04","(not set)",1415581,578055
"2025-05-05","(not set)",1505374,591392
"2025-05-06","(not set)",1688596,599645
"2025-05-07","(not set)",1596210,595670
"2025-05-08","(not set)",1589328,589029
"2025-05-09","(not set)",1534387,584200
"2025-05-10","(not set)",1480292,577171
"2025-05-11","(not set)",1476513,568937
"2025-05-12","(not set)",1530987,584551
"2025-05-13","(not set)",1549978,584846
"2025-05-14","(not set)",1585257,581062
"2025-05-15","(not set)",1610041,586168
"2025-05-16","(not set)",1450119,571464
"2025-05-17","(not set)",1315206,555730
"2025-05-18","(not set)",1286261,559147
"2025-05-19","(not set)",1298822,566245
"2025-05-20","(not set)",1287067,568516
"2025-05-21","(not set)",1278192,564862
"2025-05-22","(not set)",1311743,572725
"2025-05-23","(not set)",1296920,573706
"2025-05-24","(not set)",1252328,563502
"2025-05-25","(not set)",1242420,563457
"2025-05-26","(not set)",1258867,572610
"2025-05-27","(not set)",1243174,565485
"2025-05-28","(not set)",1236177,562882
"2025-05-29","(not set)",1250065,555870
"2025-05-30","(not set)",1259939,551456
"2025-05-31","(not set)",1234894,536701
"2025-06-01","(not set)",1250320,547129
"2025-06-02","(not set)",1303698,560696
"2025-06-03","(not set)",1290308,554457
"2025-06-04","(not set)",1292603,555107
"2025-06-05","(not set)",1533981,569691
"2025-06-06","(not set)",1533210,565035
"2025-06-07","(not set)",1485539,557523
"2025-06-08","(not set)",1452480,557519
"2025-06-09","(not set)",1481158,565505
"2025-06-10","(not set)",1456439,560438
"2025-06-11","(not set)",1419065,557446
"2025-06-12","(not set)",1406163,549843
"2025-06-13","(not set)",1396295,542761
"2025-06-14","(not set)",1385751,535719
"2025-06-15","(not set)",1383711,538468
"2025-06-16","(not set)",1422168,544285
"2025-06-17","(not set)",1396176,539035
"2025-06-18","(not set)",1396124,532560
"2025-06-19","(not set)",1401895,532481
"2025-06-20","(not set)",1389674,531521
"2025-06-21","(not set)",1361165,525503
"2025-06-22","(not set)",1370611,526719
"2025-06-23","(not set)",1414773,535965
"2025-06-24","(not set)",1634457,632721
"2025-06-25","(not set)",1533546,577351
"2025-06-26","(not set)",1551886,573443
"2025-06-27","(not set)",1614133,581020
"2025-06-28","(not set)",1568592,570869
"2025-06-29","(not set)",1581447,572077
"2025-06-30","(not set)",1613900,573292
"2025-07-01","(not set)",1608434,577486
"2025-07-02","(not set)",1589241,570333
"2025-07-03","(not set)",1577165,566694
"2025-07-04","(not set)",1555085,564928
"2025-07-05","(not set)",1512047,552522
"2025-07-06","(not set)",1523062,558151
"2025-07-07","(not set)",1585340,560253
"2025-07-08","(not set)",1852999,646222
"2025-07-09","(not set)",1726641,584223
"2025-07-10","(not set)",1613579,555679
"2025-07-11","(not set)",1539359,544800
"2025-07-12","(not set)",1491226,530230
"2025-07-13","(not set)",1496982,524215
"2025-07-14","(not set)",1530058,529576
"2025-07-15","(not set)",1483131,519125
"2025-07-16","(not set)",1466423,515176
"2025-07-17","(not set)",1426426,502069
"2025-07-18","(not set)",1368149,487134
"2025-07-19","(not set)",1296498,469720
"2025-07-20","(not set)",1245633,450198
"2025-07-21","(not set)",1252730,446268
"2025-07-22","(not set)",1222299,436147
"2025-07-23","(not set)",1205216,430531
"2025-07-24","(not set)",1193248,426967
"2025-07-25","(not set)",1176080,427149
"2025-07-26","(not set)",1147336,420959
"2025-07-27","(not set)",1151982,420739
"2025-07-28","(not set)",1352517,436563
"2025-07-29","(not set)",1226356,429424
"2025-07-30","(not set)",1186366,423009
"2025-07-31","(not set)",1190793,422840
"2025-08-01","(not set)",1202625,421437
"2025-08-02","(not set)",1150114,409421
"2025-08-03","(not set)",1149603,410313
"2025-08-04","(not set)",1213497,427945
"2025-08-05","(not set)",1216282,425413
"2025-08-06","(not set)",1223961,426790
"2025-08-07","(not set)",1215851,426099
"2025-08-08","(not set)",1215953,423604
"2025-08-09","(not set)",1256635,432804
"2025-08-10","(not set)",1281963,438758
"2025-08-11","(not set)",1424916,485543
"2025-08-12","(not set)",1627562,565883
"2025-08-13","(not set)",1879924,588363
"2025-08-14","(not set)",1951785,556162
"2025-08-15","(not set)",1822299,541866
"2025-08-16","(not set)",1527586,512334
"2025-08-17","(not set)",1506367,505686
"2025-08-18","(not set)",1703492,516017
"2025-08-19","(not set)",1590550,529707
"2025-08-20","(not set)",1796868,596793
"2025-08-21","(not set)",1638238,545150
"2025-08-22","(not set)",1566497,527338
"2025-08-23","(not set)",1645978,513115
"2025-08-24","(not set)",1498087,508039
"2025-08-25","(not set)",1504874,511663
"2025-08-26","(not set)",1485055,511037
"2025-08-27","(not set)",1415625,500052
"2025-08-28","(not set)",1393772,501377
"2025-08-29","(not set)",1365630,495191
"2025-08-30","(not set)",1439028,492020
"2025-08-31","(not set)",1337436,483766
"2025-09-01","(not set)",1363106,488859
"2025-09-02","(not set)",1386979,492157
"2025-09-03","(not set)",1363657,489049
"2025-09-04","(not set)",1508101,491674
"2025-09-05","(not set)",1391917,488327
"2025-09-06","(not set)",1474126,486552
"2025-09-07","(not set)",1439874,483828
"2025-09-08","(not set)",1439301,492163
"2025-09-09","(not set)",1402417,489972
"2025-09-10","(not set)",1375818,482992
"2025-09-11","(not set)",1450218,479492
"2025-09-12","(not set)",1381015,473410
"2025-09-13","(not set)",1423820,474543
"2025-09-14","(not set)",1399354,476729
"2025-09-15","(not set)",1410664,483305
"2025-09-16","(not set)",1387048,478671
"2025-09-17","(not set)",1408018,489141
"2025-09-18","(not set)",1553338,514127
"2025-09-19","(not set)",1482079,511930
"2025-09-20","(not set)",1475091,502417
