Data,Tela,ContagemDeEventos,TotalDeUsuarios
"2024-11-01","plans_offer_annual_highlighted",1,1
"2024-11-01","pro_promotion_urgent",1,1
"2024-11-02","(not set)",2520,1518
"2024-11-02","trial_white_animation_all_features",19,16
"2024-11-02","adsfree_toggle_switch",6,4
"2024-11-02","plans_offer_annual_highlighted",1,1
"2024-11-02","trial",1,1
"2024-11-03","(not set)",2311,1416
"2024-11-03","trial_white_animation_all_features",22,19
"2024-11-03","adsfree_toggle_switch",3,2
"2024-11-03","plans_offer_annual_highlighted",3,2
"2024-11-03","adsfree_promotion_lto",1,1
"2024-11-04","(not set)",2260,1369
"2024-11-04","trial_white_animation_all_features",8,5
"2024-11-04","adsfree_toggle_switch",2,2
"2024-11-04","plans_offer_annual_highlighted",1,1
"2024-11-05","(not set)",2203,1359
"2024-11-05","trial_white_animation_all_features",23,18
"2024-11-05","adsfree_toggle_switch",4,3
"2024-11-05","trial",2,1
"2024-11-05","plans_manage",1,1
"2024-11-05","pro_promotion_urgent",1,1
"2024-11-06","(not set)",2385,1396
"2024-11-06","trial_white_animation_all_features",18,11
"2024-11-06","plans_offer_annual_highlighted",3,3
"2024-11-06","adsfree",1,1
"2024-11-06","bottom_timer_black_friday",1,1
"2024-11-06","pro_promotion_urgent",1,1
"2024-11-07","(not set)",2031,1273
"2024-11-07","trial_white_animation_all_features",18,16
"2024-11-07","adsfree_toggle_switch",8,3
"2024-11-07","bottom_timer_black_friday",1,1
"2024-11-07","plans_offer_annual_highlighted",1,1
"2024-11-08","(not set)",2331,1324
"2024-11-08","trial_white_animation_all_features",20,15
"2024-11-08","adsfree_toggle_switch",1,1
"2024-11-08","plans_offer_annual_highlighted",1,1
"2024-11-08","pro_promotion_urgent",1,1
"2024-11-09","(not set)",2492,1358
"2024-11-09","trial_white_animation_all_features",27,19
"2024-11-09","adsfree_promotion_lto",2,1
"2024-11-09","plans_offer_annual_highlighted",2,1
"2024-11-09","pro_promotion_urgent",1,1
"2024-11-09","trial",1,1
"2024-11-10","(not set)",2218,1317
"2024-11-10","trial_white_animation_all_features",20,16
"2024-11-10","adsfree_toggle_switch",3,3
"2024-11-10","plans_offer_annual_highlighted",2,2
"2024-11-10","pro_promotion_urgent",1,1
"2024-11-10","subscription_churn_alert",1,1
"2024-11-11","(not set)",2252,1329
"2024-11-11","trial_white_animation_all_features",14,12
"2024-11-11","plans_offer_annual_highlighted",4,2
"2024-11-11","adsfree_toggle_switch",2,2
"2024-11-12","(not set)",2406,1404
"2024-11-12","trial_white_animation_all_features",17,12
"2024-11-12","trial",3,1
"2024-11-12","breachreport_monitoring_ultra",1,1
"2024-11-12","plans_offer_annual_highlighted",1,1
"2024-11-13","(not set)",2435,1504
"2024-11-13","trial_white_animation_all_features",25,22
"2024-11-13","adsfree_toggle_switch",10,6
"2024-11-13","adsfree",1,1
"2024-11-14","(not set)",2250,1351
"2024-11-14","trial_white_animation_all_features",24,17
"2024-11-14","adsfree_toggle_switch",3,2
"2024-11-14","bottom_timer_black_friday",1,1
"2024-11-14","breachreport_monitoring_ultra",1,1
"2024-11-14","plans_offer_annual_highlighted",1,1
"2024-11-15","(not set)",2359,1434
"2024-11-15","trial_white_animation_all_features",19,16
"2024-11-15","adsfree_toggle_switch",1,1
"2024-11-15","pro_promotion_urgent",1,1
"2024-11-16","(not set)",2534,1462
"2024-11-16","trial_white_animation_all_features",23,17
"2024-11-16","pro_promotion_urgent",3,2
"2024-11-17","(not set)",2223,1423
"2024-11-17","trial_white_animation_all_features",23,18
"2024-11-17","plans_offer_annual_highlighted",1,1
"2024-11-18","(not set)",2278,1460
"2024-11-18","trial_white_animation_all_features",24,18
"2024-11-18","plans_offer_annual_highlighted",2,2
"2024-11-18","adsfree_promotion_lto",1,1
"2024-11-18","pro_promotion_urgent",1,1
"2024-11-19","(not set)",2128,1358
