Data,NomeDoEvento,Pais,ContagemDeEventos,TotalDeUsuarios,EventosPorUsuario,ReceitaCombinada
2026-01-19,event_6800,Indonesia,1807,851,7.925438596491228,0
2026-01-19,event_10351,Puerto Rico,1794,173,20.620689655172413,0
2026-01-19,event_10351,Egypt,1777,188,32.30909090909091,0
2026-01-19,event_10351,Bangladesh,1711,166,29,0
2026-01-19,event_10351,Colombia,1624,124,28,0
2026-01-19,event_10350,Spain,1591,178,33.145833333333336,0
2026-01-19,event_10000,Brazil,1578,1398,1.135251798561151,0
2026-01-19,event_10352,Egypt,1576,204,31.52,0
2026-01-19,event_10350,Algeria,1510,88,53.92857142857143,0
2026-01-19,event_6800,Portugal,1489,564,9.48407643312102,0
2026-01-19,event_10350,Paraguay,1403,105,43.84375,0
2026-01-19,event_10351,Malaysia,1402,50,107.84615384615384,0
2026-01-19,event_26003,Brazil,1389,965,1.4393782383419689,0
2026-01-19,event_6800,India,1383,607,8.753164556962025,0
2026-01-19,event_10350,Chile,1366,85,40.1764705882353,0
2026-01-19,event_10353,Portugal,1366,86,16.261904761904763,0
2026-01-19,event_10350,Cuba,1327,112,17.460526315789473,0
2026-01-19,event_10350,Netherlands,1320,125,27.5,0
2026-01-19,event_10350,France,1299,97,33.30769230769231,0
2026-01-19,event_10351,Saudi Arabia,1247,134,34.638888888888886,0
2026-01-19,event_10352,Cuba,1192,93,19.540983606557376,0
2026-01-19,event_10351,United Kingdom,1143,108,14.653846153846153,0
2026-01-19,event_10352,Colombia,1141,112,26.53488372093023,0
2026-01-19,event_10353,Canada,1111,60,21.784313725490197,0
2026-01-19,event_10352,Argentina,1072,205,12.611764705882353,0
2026-01-19,event_10352,Bangladesh,1046,132,20.92,0
2026-01-19,event_10353,Indonesia,1041,90,12.695121951219512,0
2026-01-19,event_10350,United Arab Emirates,1037,91,37.035714285714285,0
2026-01-19,event_10353,India,1034,87,13.786666666666667,0
2026-01-19,event_10850,Brazil,1013,798,1.2694235588972431,0
2026-01-19,event_31009,United States,1013,587,1.72572402044293,0
2026-01-19,event_10352,Paraguay,1008,75,36,0
2026-01-19,event_10350,Peru,1007,75,32.483870967741936,0
2026-01-19,event_10350,Bolivia,989,77,47.095238095238095,0
2026-01-19,event_10512,Brazil,985,550,1.804029304029304,0
2026-01-19,event_10800,Brazil,970,867,1.118800461361015,0
2026-01-19,event_10350,Germany,951,144,20.23404255319149,0
2026-01-19,event_39000,Brazil,951,746,1.2765100671140939,0
2026-01-19,event_10350,Japan,946,83,31.533333333333335,0
2026-01-19,event_10352,Algeria,940,63,42.72727272727273,0
2026-01-19,event_10353,Puerto Rico,935,67,15.583333333333334,0
2026-01-19,event_39100,Brazil,932,773,1.2056921086675292,0
2026-01-19,event_10353,Colombia,913,44,21.738095238095237,0
2026-01-19,event_1750,United States,847,659,1.2852807283763277,0
2026-01-19,event_10350,South Africa,833,40,32.03846153846154,0
2026-01-19,event_10350,Venezuela,818,61,28.20689655172414,0
2026-01-19,event_10351,Spain,813,49,21.394736842105264,0
2026-01-19,event_10350,Syria,804,43,47.294117647058826,0
2026-01-19,event_10511,Iran,766,16,54.714285714285715,0
2026-01-19,event_10352,Bolivia,755,62,41.94444444444444,0
2026-01-19,event_10351,Netherlands,735,51,18.375,0
2026-01-19,event_10350,Morocco,733,38,61.083333333333336,0
2026-01-19,subscription_screen_open,United States,726,572,1.2692307692307692,0
2026-01-19,event_10350,Vietnam,719,66,119.83333333333333,0
2026-01-19,event_10352,Puerto Rico,713,108,14.854166666666666,0
2026-01-19,event_6800,Iran,710,435,6.173913043478261,0
2026-01-19,event_10350,Guatemala,706,110,10.537313432835822,0
2026-01-19,event_10351,Chile,698,57,24.928571428571427,0
2026-01-19,event_10351,United Arab Emirates,698,58,33.23809523809524,0
2026-01-19,event_10353,United Kingdom,693,48,15.065217391304348,0
2026-01-19,event_10505,Mexico,687,154,6.245454545454545,0
2026-01-19,event_1700,United States,680,472,1.4406779661016949,0
2026-01-19,event_6800,Canada,680,260,8.19277108433735,0
2026-01-19,event_10350,Türkiye,673,21,336.5,0
2026-01-19,event_10351,France,673,43,21.70967741935484,0
2026-01-19,event_10350,Honduras,667,66,18.027027027027028,0
2026-01-19,event_10351,Peru,666,61,23.785714285714285,0
2026-01-19,event_10350,Myanmar (Burma),638,40,35.44444444444444,0
2026-01-19,event_10363,United States,636,188,3.719298245614035,0
2026-01-19,event_10350,Nepal,634,45,37.294117647058826,0
2026-01-19,event_10353,Egypt,626,50,16.91891891891892,0
2026-01-19,event_10352,Syria,617,42,36.294117647058826,0
2026-01-19,event_10350,Jamaica,613,55,29.19047619047619,0
2026-01-19,event_10352,Chile,586,52,29.3,0
2026-01-19,event_10350,Italy,574,103,22.076923076923077,0
2026-01-19,event_10350,El Salvador,562,54,19.379310344827587,0
2026-01-19,event_10350,Laos,555,56,15,0
2026-01-19,event_10353,Netherlands,554,31,19.103448275862068,0
2026-01-19,event_1650,United States,554,464,1.1939655172413792,0
2026-01-19,event_10350,Angola,551,27,36.733333333333334,0
2026-01-19,event_10353,Philippines,549,40,16.147058823529413,0
2026-01-19,event_6800,Egypt,544,225,10.074074074074074,0
2026-01-19,event_10511,Mexico,538,32,17.933333333333334,0
2026-01-19,event_6800,United Kingdom,538,234,6.044943820224719,0
2026-01-19,event_10350,Australia,529,31,31.11764705882353,0
2026-01-19,event_10350,Bhutan,526,3,263,0
2026-01-19,event_29000,United States,524,427,1.2300469483568075,0
2026-01-19,event_10350,Ghana,520,26,30.58823529411765,0
2026-01-19,event_10352,Saudi Arabia,518,82,30.470588235294116,0
2026-01-19,event_10352,Venezuela,517,45,20.68,0
2026-01-19,event_6800,Argentina,508,312,3.6546762589928057,0
2026-01-19,event_10353,Spain,501,24,22.772727272727273,0
2026-01-19,event_10350,Mozambique,491,16,49.1,0
2026-01-19,event_6800,Philippines,487,203,6.671232876712328,0
2026-01-19,event_10350,Uruguay,485,48,60.625,0
2026-01-19,event_10351,South Africa,472,29,23.6,0
2026-01-19,event_6800,Pakistan,469,231,9.97872340425532,0
2026-01-19,event_10350,Ireland,464,40,46.4,0
2026-01-19,event_10351,Australia,457,25,30.466666666666665,0
2026-01-19,event_10350,Iraq,452,22,64.57142857142857,0
2026-01-19,event_10352,Angola,451,21,32.214285714285715,0
2026-01-19,event_10352,Bhutan,434,2,434,0
2026-01-19,event_2600,United States,434,292,1.4914089347079038,0
2026-01-19,event_10351,Algeria,432,64,18.782608695652176,0
2026-01-19,event_10353,Nigeria,430,39,11.944444444444445,0
2026-01-19,event_10351,Japan,429,58,20.428571428571427,0
2026-01-19,event_10352,Honduras,429,47,21.45,0
2026-01-19,subscription_subscribe_click,Brazil,427,261,1.6360153256704981,0
2026-01-19,event_10350,Qatar,424,45,35.333333333333336,0
2026-01-19,event_6800,Bangladesh,420,165,8.75,0
2026-01-19,event_10352,Nepal,404,38,31.076923076923077,0
2026-01-19,event_6800,Thailand,400,262,6.0606060606060606,0
2026-01-19,event_10351,Germany,397,55,10.447368421052632,0
2026-01-19,event_10350,Sudan,390,16,97.5,0
2026-01-19,event_10352,Mozambique,385,16,38.5,0
2026-01-19,event_26003,United States,385,286,1.3461538461538463,0
2026-01-19,event_10352,Guatemala,384,49,15.36,0
2026-01-19,event_10350,Dominican Republic,379,53,19.94736842105263,0
2026-01-19,event_10352,Malaysia,371,39,41.22222222222222,0
2026-01-19,event_10511,Cuba,371,10,37.1,0
2026-01-19,event_10352,Myanmar (Burma),370,21,52.857142857142854,0
2026-01-19,event_10353,South Africa,366,11,33.27272727272727,0
2026-01-19,event_10353,Chile,366,19,22.875,0
2026-01-19,event_10353,Peru,361,28,15.695652173913043,0
2026-01-19,event_10352,France,356,27,27.384615384615383,0
2026-01-19,event_10351,Türkiye,354,20,177,0
2026-01-19,event_1000,Mexico,352,224,1.592760180995475,0
2026-01-19,event_10352,Morocco,341,30,37.888888888888886,0
2026-01-19,event_6800,Germany,339,146,7.533333333333333,0
2026-01-19,event_10352,Japan,337,38,28.083333333333332,0
2026-01-19,event_10350,Kenya,335,15,67,0
2026-01-19,event_6800,Nigeria,335,150,5.153846153846154,0
2026-01-19,event_10511,Honduras,333,4,83.25,0
2026-01-19,event_10351,Morocco,332,25,30.181818181818183,0
2026-01-19,event_6800,Puerto Rico,324,190,4.764705882352941,0
2026-01-19,event_10350,Costa Rica,309,25,28.09090909090909,0
2026-01-19,event_10351,Ghana,309,16,28.09090909090909,0
2026-01-19,event_10352,El Salvador,307,36,19.1875,0
2026-01-19,event_6800,Saudi Arabia,307,122,11.807692307692308,0
2026-01-19,event_10351,Jamaica,300,33,15,0
2026-01-19,event_10352,Türkiye,299,12,299,0
2026-01-19,event_10351,Paraguay,296,57,10.962962962962964,0
2026-01-19,event_10352,Iraq,296,18,49.333333333333336,0
2026-01-19,event_10352,Peru,288,44,14.4,0
2026-01-19,event_10351,Qatar,284,34,28.4,0
2026-01-19,event_10352,Portugal,283,49,8.84375,0
2026-01-19,event_10350,Romania,279,18,25.363636363636363,0
2026-01-19,event_10350,Ecuador,277,52,18.466666666666665,0
2026-01-19,event_6800,Netherlands,276,125,5.872340425531915,0
2026-01-19,event_10352,South Africa,271,16,24.636363636363637,0
2026-01-19,event_10352,Canada,271,72,11.782608695652174,0
2026-01-19,event_10351,Dominican Republic,267,41,15.705882352941176,0
2026-01-19,event_6800,Spain,263,130,7.108108108108108,0
2026-01-19,event_37000,United States,261,210,1.2428571428571429,0
2026-01-19,event_10350,Uganda,259,18,37,0
2026-01-19,event_10352,Sudan,258,15,64.5,0
2026-01-19,event_10350,Jordan,253,30,50.6,0
2026-01-19,event_10352,Laos,253,34,14.055555555555555,0
2026-01-19,event_10505,India,247,64,7.057142857142857,0
2026-01-19,event_10351,Guatemala,236,58,7.612903225806452,0
2026-01-19,event_10351,Costa Rica,234,23,21.272727272727273,0
2026-01-19,event_10351,El Salvador,233,34,10.590909090909092,0
2026-01-19,event_10352,Netherlands,232,28,11.047619047619047,0
2026-01-19,event_10352,United Kingdom,230,55,9.583333333333334,0
2026-01-19,event_10351,Uruguay,228,26,76,0
2026-01-19,event_10352,Jamaica,228,41,12,0
2026-01-19,event_10351,Vietnam,226,43,37.666666666666664,0
2026-01-19,event_10511,Indonesia,223,15,17.153846153846153,0
2026-01-19,event_10505,United Kingdom,220,29,11,0
2026-01-19,event_6800,Colombia,219,131,4.055555555555555,0
2026-01-19,event_10505,Portugal,217,53,6.027777777777778,0
2026-01-19,event_10353,Ghana,212,6,35.333333333333336,0
2026-01-19,event_10350,Zambia,211,4,105.5,0
2026-01-19,event_6800,Italy,211,85,10.55,0
2026-01-19,event_10351,Nepal,207,22,23,0
2026-01-19,event_10353,Bangladesh,207,31,7.392857142857143,0
2026-01-19,event_6800,Algeria,206,75,8.956521739130435,0
2026-01-19,event_10350,Serbia,204,5,102,0
2026-01-19,event_10350,Tanzania,201,22,16.75,0
2026-01-19,event_10511,Congo - Kinshasa,200,1,200,0
2026-01-19,event_10350,Panama,199,13,39.8,0
2026-01-19,event_10350,Israel,199,20,49.75,0
2026-01-19,event_10352,Germany,196,39,12.25,0
2026-01-19,event_10350,Afghanistan,195,35,9.75,0
2026-01-19,event_10350,South Korea,193,18,27.571428571428573,0
2026-01-19,event_10350,Kuwait,193,20,32.166666666666664,0
2026-01-19,event_10352,Zambia,190,4,95,0
2026-01-19,event_10352,Uruguay,190,25,31.666666666666668,0
2026-01-19,event_10352,Ghana,189,15,23.625,0
2026-01-19,event_6800,France,188,83,5.529411764705882,0
2026-01-19,event_10350,Cape Verde,185,5,37,0
2026-01-19,event_10351,Kuwait,184,18,26.285714285714285,0
2026-01-19,event_10350,Oman,183,22,26.142857142857142,0
2026-01-19,event_10364,Brazil,182,150,1.221476510067114,0
2026-01-19,event_10351,Venezuela,181,33,12.066666666666666,0
2026-01-19,event_10363,India,181,40,5.484848484848484,0
2026-01-19,event_10350,Singapore,180,46,5.625,0
2026-01-19,event_10352,Ecuador,180,44,13.846153846153847,0
2026-01-19,event_10505,Egypt,180,28,15,0
2026-01-19,event_10505,Argentina,179,37,6.392857142857143,0
2026-01-19,event_10351,Panama,177,10,35.4,0
2026-01-19,event_10352,Vietnam,175,45,58.333333333333336,0
2026-01-19,event_10351,Syria,174,11,29,0
2026-01-19,event_10351,Israel,174,12,43.5,0
2026-01-19,event_10351,Bolivia,171,37,9.5,0
2026-01-19,event_10350,Switzerland,170,18,28.333333333333332,0
2026-01-19,event_10351,South Korea,170,12,34,0
2026-01-19,event_6800,Japan,169,83,5.121212121212121,0
2026-01-19,event_6800,Paraguay,169,86,5.827586206896552,0
2026-01-19,event_10351,Italy,168,24,8,0
2026-01-19,event_10352,Uganda,168,16,28,0
2026-01-19,event_10351,Kenya,167,12,33.4,0
2026-01-19,event_10350,Tunisia,166,13,166,0
2026-01-19,event_1000,India,164,84,1.9759036144578312,0
2026-01-19,event_10351,Romania,164,10,20.5,0
2026-01-19,event_10352,Cape Verde,164,5,32.8,0
2026-01-19,event_10353,Australia,163,11,16.3,0
2026-01-19,event_10350,Burkina Faso,162,3,0,0
2026-01-19,event_10352,United Arab Emirates,161,43,11.5,0
2026-01-19,event_10352,Afghanistan,159,22,13.25,0
2026-01-19,event_10350,Belgium,155,14,38.75,0
2026-01-19,event_10353,Jamaica,155,15,11.071428571428571,0
2026-01-19,event_10350,Zimbabwe,154,6,38.5,0
2026-01-19,event_10353,Morocco,152,11,16.88888888888889,0
2026-01-19,event_10352,Kenya,151,13,25.166666666666668,0
2026-01-19,event_6800,United Arab Emirates,150,60,8.333333333333334,0
2026-01-19,event_10850,United States,148,107,1.3831775700934579,0
2026-01-19,event_10210,United States,143,20,7.15,0
2026-01-19,event_10350,Botswana,143,1,143,0
2026-01-19,event_10351,Iraq,143,10,71.5,0
2026-01-19,event_10351,Honduras,143,24,11,0
2026-01-19,event_10352,Zimbabwe,143,5,35.75,0
2026-01-19,event_10350,Ethiopia,142,11,47.333333333333336,0
2026-01-19,event_10352,Spain,142,21,17.75,0
2026-01-19,event_10800,United States,141,128,1.110236220472441,0
2026-01-19,event_10000,United States,139,114,1.219298245614035,0
2026-01-19,event_6800,Malaysia,139,55,8.176470588235293,0
2026-01-19,event_10352,Burkina Faso,136,1,0,0
2026-01-19,event_10353,Germany,135,21,6.75,0
2026-01-19,event_10352,Serbia,133,3,66.5,0
2026-01-19,event_10350,Yemen,131,9,43.666666666666664,0
2026-01-19,event_10353,Japan,130,15,9.285714285714286,0
2026-01-19,event_10353,South Korea,128,4,32,0
2026-01-19,event_10350,Libya,127,9,42.333333333333336,0
2026-01-19,event_10353,Dominican Republic,127,9,14.11111111111111,0
2026-01-19,event_10351,Belgium,125,4,41.666666666666664,0
2026-01-19,event_10353,Algeria,124,18,8.266666666666667,0
2026-01-19,event_10350,Bahrain,123,5,41,0
2026-01-19,event_10350,New Zealand,123,17,13.666666666666666,0
2026-01-19,event_10353,Qatar,123,4,30.75,0
2026-01-19,event_6800,Jamaica,122,55,5.304347826086956,0
2026-01-19,event_10352,Yemen,121,9,40.333333333333336,0
2026-01-19,event_10353,France,121,15,8.066666666666666,0
2026-01-19,event_1600,Mexico,121,76,1.5921052631578947,0
2026-01-19,event_9900,Mexico,121,57,2.1228070175438596,0
2026-01-19,event_4418,Brazil,119,52,2.2884615384615383,0
2026-01-19,event_6800,Chile,119,69,4.25,0
2026-01-19,event_10353,Costa Rica,118,11,11.8,0
2026-01-19,event_10353,Pakistan,118,26,5.363636363636363,0
2026-01-19,event_10351,Jordan,116,19,29,0
2026-01-19,event_10353,Saudi Arabia,116,20,7.25,0
2026-01-19,event_10511,Argentina,116,2,58,0
2026-01-19,event_10511,Haiti,116,4,38.666666666666664,0
2026-01-19,event_30000,United States,116,84,1.380952380952381,0
2026-01-19,event_6800,Cuba,116,80,2.8292682926829267,0
2026-01-19,event_10350,Bulgaria,115,4,115,0
2026-01-19,event_10351,Sri Lanka,114,10,28.5,0
2026-01-19,event_6800,Syria,114,46,7.6,0
2026-01-19,event_10350,Sri Lanka,113,14,22.6,0
2026-01-19,event_10350,Trinidad & Tobago,111,8,37,0
2026-01-19,event_10351,Tunisia,110,10,110,0
2026-01-19,event_10352,Qatar,110,24,22,0
2026-01-19,event_10350,Norway,109,16,21.8,0
2026-01-19,event_6800,Bolivia,109,58,5.45,0
2026-01-19,event_6800,Peru,108,59,4,0
2026-01-19,event_10350,U.S. Virgin Islands,107,10,35.666666666666664,0
2026-01-19,event_10351,Botswana,107,1,107,0
2026-01-19,event_10353,Panama,107,5,26.75,0
2026-01-19,event_10353,Kuwait,107,5,35.666666666666664,0
2026-01-19,event_10353,Paraguay,107,18,5.944444444444445,0
2026-01-19,event_8000,United States,107,107,1.009433962264151,0
2026-01-19,event_10353,El Salvador,106,9,11.777777777777779,0
2026-01-19,event_10505,Spain,106,14,10.6,0
2026-01-19,event_10512,United States,104,63,1.6507936507936507,0
2026-01-19,open_wifi_alert_settings__screen_viewed,Brazil,104,59,1.7627118644067796,0
2026-01-19,event_10352,Ethiopia,102,8,51,0
2026-01-19,event_10363,Mexico,102,46,2.4878048780487805,0
2026-01-19,event_10350,Poland,101,16,14.428571428571429,0
2026-01-19,event_10351,U.S. Virgin Islands,101,7,33.666666666666664,0
2026-01-19,event_10353,Romania,101,7,14.428571428571429,0
2026-01-19,event_10505,Nigeria,101,25,6.3125,0
2026-01-19,event_10350,Greece,100,10,16.666666666666668,0
2026-01-19,event_10351,Switzerland,100,6,20,0
2026-01-19,event_10505,Algeria,100,13,20,0
2026-01-19,event_10511,Sri Lanka,100,1,100,0
2026-01-19,event_6800,Ireland,99,34,8.25,0
2026-01-19,event_10353,Botswana,98,1,98,0
2026-01-19,event_1000,Portugal,97,54,1.7962962962962963,0
2026-01-19,event_10351,Sudan,97,8,32.333333333333336,0
2026-01-19,event_10505,Netherlands,97,17,8.818181818181818,0
2026-01-19,event_10353,Israel,95,5,23.75,0
2026-01-19,event_10100,Mexico,94,57,1.6785714285714286,0
2026-01-19,event_10350,Congo - Kinshasa,94,4,31.333333333333332,0
2026-01-19,event_10351,New Zealand,93,12,11.625,0
2026-01-19,event_6800,Australia,93,34,5.166666666666667,0
2026-01-19,event_6800,Guatemala,93,60,4.2272727272727275,0
2026-01-19,event_1000,Argentina,92,53,1.7358490566037736,0
2026-01-19,event_10511,Peru,92,1,0,0
2026-01-19,event_39100,United States,92,83,1.108433734939759,0
2026-01-19,event_10353,Guatemala,91,13,7.583333333333333,0
2026-01-19,event_10351,Mozambique,90,7,12.857142857142858,0
2026-01-19,event_10352,Tanzania,90,14,9,0
2026-01-19,event_10505,Puerto Rico,90,25,5.294117647058823,0
2026-01-19,event_10351,Singapore,89,29,4.45,0
2026-01-19,event_10352,Bahrain,89,3,89,0
2026-01-19,event_10505,Indonesia,89,37,3.2962962962962963,0
2026-01-19,event_10351,Bhutan,88,1,0,0
2026-01-19,event_10351,Oman,88,12,44,0
2026-01-19,event_10352,Congo - Kinshasa,87,4,29,0
2026-01-19,event_6800,El Salvador,87,52,4.142857142857143,0
2026-01-19,event_1000,Puerto Rico,86,41,2.097560975609756,0
2026-01-19,event_10352,Dominican Republic,86,31,7.818181818181818,0
2026-01-19,event_6800,South Africa,85,32,5.3125,0
2026-01-19,event_10353,Kenya,84,6,16.8,0
2026-01-19,event_10363,Algeria,84,9,9.333333333333334,0
2026-01-19,event_10511,Nigeria,84,16,5.25,0
2026-01-19,event_6800,Dominican Republic,83,50,5.1875,0
2026-01-19,event_10351,Greece,82,7,13.666666666666666,0
2026-01-19,event_10353,Switzerland,81,3,40.5,0
2026-01-19,event_6800,Qatar,81,36,13.5,0
2026-01-19,event_10353,Belgium,80,2,40,0
2026-01-19,event_10353,Italy,80,11,7.2727272727272725,0
2026-01-19,event_6800,Nepal,80,39,6.153846153846154,0
2026-01-19,event_1000,Egypt,79,32,2.46875,0
2026-01-19,event_10350,Bahamas,79,5,39.5,0
2026-01-19,event_1000,Indonesia,78,57,1.4181818181818182,0
2026-01-19,event_10511,Norway,78,1,78,0
2026-01-19,event_10350,Togo,76,2,38,0
2026-01-19,event_10350,Antigua & Barbuda,76,8,25.333333333333332,0
2026-01-19,event_10350,China,76,10,15.2,0
2026-01-19,event_10351,Ireland,76,15,7.6,0
2026-01-19,event_10505,Colombia,76,15,5.846153846153846,0
2026-01-19,event_10351,Ecuador,74,23,6.7272727272727275,0
2026-01-19,event_10363,Iran,74,38,2.3125,0
2026-01-19,event_8001,United States,74,74,1.0136986301369864,0
2026-01-19,event_1000,Bangladesh,73,27,2.8076923076923075,0
2026-01-19,event_10351,Tanzania,73,8,14.6,0
2026-01-19,event_1000,Philippines,72,39,1.894736842105263,0
2026-01-19,event_10350,Guyana,72,14,10.285714285714286,0
2026-01-19,event_10352,Libya,72,6,72,0
2026-01-19,event_10352,Oman,72,12,24,0
2026-01-19,event_6800,Vietnam,72,28,12,0
2026-01-19,event_10351,Haiti,71,11,10.142857142857142,0
2026-01-19,event_10353,Bolivia,71,7,10.142857142857142,0
2026-01-19,event_10511,Thailand,71,6,14.2,0
2026-01-19,event_2100,Mexico,71,54,1.3148148148148149,0
2026-01-19,event_10352,Singapore,70,13,14,0
2026-01-19,event_6800,Honduras,70,47,3.1818181818181817,0
2026-01-19,event_10352,Romania,69,8,9.857142857142858,0
2026-01-19,event_10351,Angola,68,11,8.5,0
2026-01-19,event_10353,Malaysia,68,10,8.5,0
2026-01-19,event_1000,Canada,67,30,2.392857142857143,0
2026-01-19,event_10350,Mali,66,4,33,0
2026-01-19,event_10351,Poland,66,6,11,0
2026-01-19,event_10505,Philippines,66,20,6,0
2026-01-19,event_6800,Morocco,66,30,6.6,0
2026-01-19,event_10353,U.S. Virgin Islands,65,3,21.666666666666668,0
2026-01-19,event_10353,Honduras,65,8,8.125,0
2026-01-19,event_10354,Mexico,64,43,1.4883720930232558,0
2026-01-19,event_10351,Antigua & Barbuda,63,5,21,0
2026-01-19,event_10352,Costa Rica,63,15,9,0
2026-01-19,event_10353,Nepal,63,4,21,0
2026-01-19,event_10363,Egypt,63,18,4.5,0
2026-01-19,event_10511,Philippines,63,12,5.7272727272727275,0
2026-01-19,event_10353,New Zealand,62,8,8.857142857142858,0
